Fecha_Hora,Escenario,Dispositivo,Conexion,VPN,Posicion_Esperada,Tipo_Lectura,Distancia_Real_m,Error_Horizontal_m,Latitud,Longitud,Precision_m,Tiempo_Geo_ms,Tiempo_RTT_ms,Tiempo_Backend_ms,Distancia_App_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
2026-08-06T03:36:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Cached Fix (maximumAge=300000),20,3.19,-0.2886,-79.213,9.4,5.19,2768.63,131.21,22.49,10,Rechazada,Sí,
2026-08-05T23:32:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Fresh Fix (maximumAge=0),11,2.62,-0.288483,-79.213283,14.51,1247.53,519.59,128.33,9.37,10,Aceptada,No,
2026-08-06T02:27:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,4.11,-0.28853,-79.21307,9.68,1131.34,3214.49,156.47,14.61,10,Rechazada,Sí,
2026-08-05T23:49:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Fresh Fix (maximumAge=0),20,2.66,-0.288199,-79.213401,10.19,1193.46,765.19,151.09,22.57,10,Rechazada,Sí,
2026-08-06T03:49:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),11,7.53,-0.288441,-79.213241,96.98,3400.55,5103.72,150.09,4.58,10,Aceptada,No,
2026-08-06T01:20:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),20,9.02,-0.288272,-79.213072,134.17,3404.38,2360.78,111.67,14.44,10,Rechazada,Sí,
2026-08-05T20:21:00Z,E5,Acer Aspire A515-57 (Windows),Wi-Fi,No,Fuera,Cached Fix (maximumAge=300000),20,9.09,-0.288274,-79.213074,117.42,3.1,183.74,131.23,14.2,10,Rechazada,Sí,
2026-08-06T00:11:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),11,3.57,-0.288325,-79.213275,15.18,2.99,602.72,129.14,8.47,10,Aceptada,No,
2026-08-05T20:09:00Z,E5,Acer Aspire A515-57 (Windows),Wi-Fi,No,Fuera,Cached Fix (maximumAge=300000),11,12.92,-0.288572,-79.213372,117.52,6.49,177.97,161.52,19.33,10,Rechazada,Sí,
2026-08-05T14:23:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Cached Fix (maximumAge=300000),2,17.06,-0.288401,-79.213199,106.03,3.17,1994.71,142.54,0.1,10,Aceptada,Sí,
2026-08-05T13:09:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Cached Fix (maximumAge=300000),9,4.89,-0.288441,-79.213241,7.61,4.9,805.73,160.4,4.62,10,Aceptada,Sí,
2026-08-06T06:14:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),11,2.51,-0.288317,-79.213283,13.32,3.65,3924.71,163.42,9.29,10,Aceptada,No,
2026-08-06T06:37:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),20,2.84,-0.288245,-79.213045,7.89,5.83,4550.18,171.1,17.42,10,Rechazada,Sí,
2026-08-05T22:36:00Z,E6,Acer Aspire A515-57 (Windows),Datos móviles,No,Fuera,Fresh Fix (maximumAge=0),20,9.76,-0.288638,-79.212962,132.71,3449.5,506.56,121.34,26.77,10,Rechazada,Sí,
2026-08-05T20:25:00Z,E5,Acer Aspire A515-57 (Windows),Wi-Fi,No,Fuera,Cached Fix (maximumAge=300000),20,18.12,-0.288064,-79.212864,101.4,5.16,140.68,168.97,37.79,10,Rechazada,Sí,
2026-08-05T16:40:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),9,20.45,-0.288399,-79.213199,113.48,3838.48,6053.9,151.86,0.1,10,Aceptada,Sí,
2026-08-05T10:57:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),2,6.07,-0.288399,-79.213201,93.06,3091.26,656.83,140.34,0.1,10,Aceptada,Sí,
2026-08-06T04:59:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),20,6.77,-0.288268,-79.213332,100.9,4.01,3584.05,159.13,14.87,10,Rechazada,Sí,
2026-08-05T09:33:00Z,E1,POCO X6 Pro 5G (Android),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),2,4.15,-0.288399,-79.213199,8.99,1079.38,227.22,147.18,0.1,10,Aceptada,Sí,
2026-08-05T23:30:00Z,E6,Acer Aspire A515-57 (Windows),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),20,12.76,-0.28814,-79.21346,105.69,3.63,598.8,165.89,29.19,10,Rechazada,Sí,
2026-08-05T21:01:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),11,6.96,-0.288347,-79.213253,15.98,1177.05,124.53,145.33,5.99,10,Aceptada,No,
2026-08-05T15:18:00Z,E3,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),9,3.53,-0.288452,-79.213148,12.15,1539.25,2461.39,100.55,5.89,10,Aceptada,Sí,
2026-08-06T04:45:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),11,12.24,-0.288399,-79.213201,112.17,5.61,3888.96,140.52,0.1,10,Aceptada,No,
2026-08-06T00:34:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),20,3.22,-0.288602,-79.213402,14.97,3.47,509.85,142.55,22.65,10,Rechazada,Sí,
2026-08-06T02:58:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Cached Fix (maximumAge=300000),11,4.88,-0.288458,-79.213142,9.82,1.5,3608.92,160.26,6.57,10,Aceptada,No,
2026-08-05T08:28:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),9,11.34,-0.288254,-79.213346,109.62,2827.78,155.88,163.62,16.44,10,Rechazada,No,
2026-08-05T19:05:00Z,E4,POCO X6 Pro 5G (Android),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),9,3.77,-0.288501,-79.213301,6.99,3.82,3857.58,128.09,11.37,10,Rechazada,No,
2026-08-05T16:53:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),9,15.54,-0.288575,-79.213025,116.11,2689.75,3989.84,106.05,19.65,10,Rechazada,No,
2026-08-06T02:10:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,2.32,-0.288518,-79.213082,13.51,1032.23,2722.5,152.08,13.3,10,Rechazada,Sí,
2026-08-05T12:09:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),2,5.24,-0.288347,-79.213253,10.53,1226.23,676.88,114.89,5.93,10,Aceptada,Sí,
2026-08-06T00:42:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),20,0.13,-0.288579,-79.213379,17.38,4.73,633.51,141.25,20.1,10,Rechazada,Sí,
2026-08-05T21:56:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Cached Fix (maximumAge=300000),20,4.83,-0.288605,-79.213405,14.4,4.63,113.22,166.96,23.09,10,Rechazada,Sí,
2026-08-05T16:45:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),9,7.9,-0.288433,-79.213233,124.68,3365.15,5958.1,83.08,3.74,10,Aceptada,Sí,
2026-08-06T01:06:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,11.76,-0.288573,-79.213373,85.63,3824.1,2053.89,133.78,19.39,10,Rechazada,Sí,
2026-08-05T15:58:00Z,E3,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Dentro,Cached Fix (maximumAge=300000),9,1.4,-0.288491,-79.213291,16.55,4.71,2948.17,169.72,10.19,10,Rechazada,No,
2026-08-05T09:39:00Z,E1,POCO X6 Pro 5G (Android),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),2,2.92,-0.288399,-79.213201,13.48,1522.31,194.97,158.88,0.1,10,Aceptada,Sí,
2026-08-06T04:23:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),20,13.44,-0.288478,-79.213278,95.33,3287.65,4305.93,173.02,8.79,10,Aceptada,No,
2026-08-05T08:24:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),9,5.2,-0.288439,-79.213161,100.66,4837.85,170.45,111.52,4.37,10,Aceptada,Sí,
2026-08-05T17:09:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),2,16.62,-0.288399,-79.213199,103.56,7.36,5372.01,133.91,0.1,10,Aceptada,Sí,
2026-08-06T00:18:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),11,5.08,-0.288462,-79.213138,8.61,3.42,720.75,160.2,7.01,10,Aceptada,No,
2026-08-05T15:53:00Z,E3,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Dentro,Cached Fix (maximumAge=300000),2,4.42,-0.288447,-79.213247,10.85,4.53,2744.89,126.73,5.29,10,Aceptada,Sí,
2026-08-06T04:05:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),20,2.81,-0.288554,-79.213354,118.75,2495.25,5578.61,135.17,17.29,10,Rechazada,Sí,
2026-08-05T21:09:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),20,2.64,-0.288203,-79.213397,6.85,1425.13,233.27,128.47,22.18,10,Rechazada,Sí,
2026-08-05T15:24:00Z,E3,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),9,1.09,-0.288472,-79.213128,9.63,792.14,2604.63,125.74,8.1,10,Aceptada,Sí,
2026-08-05T10:47:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),2,14.55,-0.288399,-79.213199,120.19,4075.97,355.69,141.06,0.1,10,Aceptada,Sí,
2026-08-05T09:28:00Z,E1,POCO X6 Pro 5G (Android),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),2,7.58,-0.288483,-79.213283,9.29,1364.35,132.64,160.48,9.33,10,Aceptada,Sí,
2026-08-05T13:01:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Cached Fix (maximumAge=300000),2,1.97,-0.288432,-79.213232,11.85,3.43,919.62,152.09,3.61,10,Aceptada,Sí,
2026-08-05T18:55:00Z,E4,POCO X6 Pro 5G (Android),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),9,2.4,-0.288493,-79.213293,8.6,4.35,4081.85,129.76,10.48,10,Rechazada,No,
2026-08-06T00:55:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,11.85,-0.288588,-79.213012,117.06,2485.42,2580.4,154.03,21.12,10,Rechazada,Sí,
2026-08-05T09:16:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Cached Fix (maximumAge=300000),9,18.84,-0.288173,-79.212973,97.53,2.35,167.11,143.59,25.5,10,Rechazada,No,
2026-08-06T05:42:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),20,5.86,-0.28854,-79.21306,8.68,1455.4,3366.09,145.81,15.68,10,Rechazada,Sí,
2026-08-06T05:48:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),20,3.71,-0.288607,-79.212993,8.95,1191.5,4869.52,129.03,23.31,10,Rechazada,Sí,
2026-08-06T02:00:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Cached Fix (maximumAge=300000),20,14.37,-0.288683,-79.213483,102.69,2.15,3095.1,173.55,31.82,10,Rechazada,Sí,
2026-08-05T20:56:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),11,1.24,-0.288294,-79.213306,5.7,1262.1,152.87,109.1,11.87,10,Rechazada,Sí,
2026-08-05T21:58:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Cached Fix (maximumAge=300000),20,4.26,-0.288606,-79.213406,15.87,4.62,172.84,155.72,23.14,10,Rechazada,Sí,
2026-08-06T06:23:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),20,4.92,-0.288535,-79.213335,13.85,2.17,4872.84,165.77,15.16,10,Rechazada,Sí,
2026-08-05T14:06:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Cached Fix (maximumAge=300000),2,9.39,-0.288307,-79.213107,118.83,4.21,3140.57,153.68,10.48,10,Rechazada,No,
2026-08-06T05:19:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),11,14.47,-0.288399,-79.213201,9.11,1296.61,3869.01,126.87,0.1,10,Aceptada,No,
2026-08-05T15:03:00Z,E3,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),2,1.45,-0.288371,-79.213229,9.26,914.06,2001.9,159.38,3.23,10,Aceptada,Sí,
2026-08-06T05:10:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),20,10.57,-0.288309,-79.213109,98.6,2.36,4959.55,138.54,10.21,10,Rechazada,Sí,
2026-08-05T13:57:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),9,16.43,-0.288203,-79.213003,113.82,2400.68,1914.58,91.66,22.19,10,Rechazada,No,
2026-08-05T13:28:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),2,9.47,-0.288401,-79.213199,103.16,2719.35,1644.45,133.02,0.1,10,Aceptada,Sí,
2026-08-05T19:52:00Z,E5,Acer Aspire A515-57 (Windows),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),20,12.21,-0.288472,-79.213128,126.28,3215.72,174.83,141.27,8.07,10,Aceptada,No,
2026-08-06T06:10:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),11,2.43,-0.288513,-79.213313,12.2,1.5,4876.79,120.21,12.66,10,Rechazada,Sí,
2026-08-05T23:27:00Z,E6,Acer Aspire A515-57 (Windows),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),20,16.76,-0.288318,-79.213118,122.51,3.83,798.83,114.93,9.16,10,Aceptada,No,
2026-08-05T14:51:00Z,E3,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),2,2.6,-0.288404,-79.213204,13.75,1024.36,3077.76,134.11,0.4,10,Aceptada,Sí,
2026-08-06T06:34:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),20,4.03,-0.288607,-79.212993,17.78,4.52,4968.8,174.98,23.31,10,Rechazada,Sí,
2026-08-05T17:13:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),2,11.55,-0.28832,-79.21312,97.54,4.66,4782.1,138.37,8.97,10,Aceptada,Sí,
2026-08-06T00:52:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,6.74,-0.288362,-79.213238,108.03,3314.05,2819.45,138.16,4.29,10,Aceptada,No,
2026-08-06T00:31:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),20,1.68,-0.288588,-79.213388,11.98,4.94,610.23,161.11,21.07,10,Rechazada,Sí,
2026-08-05T13:52:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),9,12.34,-0.288579,-79.213379,92.77,3309.79,2075.48,144.04,20.12,10,Rechazada,No,
2026-08-05T12:12:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),2,0.55,-0.288386,-79.213186,10.68,945.52,656.16,142.55,1.55,10,Aceptada,Sí,
2026-08-05T11:46:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Cached Fix (maximumAge=300000),9,10.39,-0.288546,-79.213054,83.59,3.93,614.95,96.19,16.44,10,Rechazada,No,
2026-08-05T12:20:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),2,4.07,-0.288453,-79.213253,8.65,1448.29,824.68,173.8,6.0,10,Aceptada,Sí,
2026-08-05T19:29:00Z,E5,Acer Aspire A515-57 (Windows),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),20,11.74,-0.288648,-79.213448,123.19,3730.98,190.88,169.1,27.87,10,Rechazada,Sí,
2026-08-06T01:50:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Cached Fix (maximumAge=300000),20,4.29,-0.288194,-79.213406,110.02,3.45,1877.63,155.06,23.18,10,Rechazada,Sí,
2026-08-05T22:17:00Z,E6,Acer Aspire A515-57 (Windows),Datos móviles,No,Fuera,Fresh Fix (maximumAge=0),11,0.38,-0.288305,-79.213295,110.96,1728.91,570.55,189.25,10.71,10,Rechazada,Sí,
2026-08-06T00:28:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),11,1.53,-0.288488,-79.213288,13.75,5.67,833.83,145.94,9.92,10,Aceptada,No,
2026-08-05T11:03:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),9,15.76,-0.288401,-79.213201,87.61,3978.47,776.25,146.3,0.1,10,Aceptada,Sí,
2026-08-06T00:59:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,13.08,-0.288589,-79.213389,113.66,3195.81,2663.84,124.88,21.22,10,Rechazada,Sí,
2026-08-06T02:54:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Cached Fix (maximumAge=300000),11,2.86,-0.288279,-79.213079,6.24,4.49,2019.21,86.61,13.61,10,Rechazada,Sí,
2026-08-05T23:41:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Fresh Fix (maximumAge=0),11,4.84,-0.288467,-79.213133,10.4,1039.26,765.56,85.67,7.54,10,Aceptada,No,
2026-08-05T14:47:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Cached Fix (maximumAge=300000),9,10.42,-0.288233,-79.213033,90.58,3.05,2445.75,166.7,18.72,10,Rechazada,No,
2026-08-05T11:33:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Cached Fix (maximumAge=300000),2,12.51,-0.288288,-79.213088,83.46,5.74,516.31,131.32,12.55,10,Rechazada,No,
2026-08-05T13:24:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Fresh Fix (maximumAge=0),2,12.12,-0.288506,-79.213306,137.39,3613.73,3065.41,107.47,11.89,10,Rechazada,No,
2026-08-05T12:52:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Cached Fix (maximumAge=300000),2,1.81,-0.288398,-79.213202,7.52,1.5,604.44,125.4,0.23,10,Aceptada,Sí,
2026-08-05T10:28:00Z,E1,POCO X6 Pro 5G (Android),Wi-Fi,No,Dentro,Cached Fix (maximumAge=300000),9,3.19,-0.288341,-79.213141,7.8,4.84,193.78,166.49,6.59,10,Aceptada,Sí,
2026-08-05T08:57:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Cached Fix (maximumAge=300000),2,14.86,-0.288267,-79.213067,99.67,4.53,188.1,123.85,14.93,10,Rechazada,No,
2026-08-05T17:31:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),9,19.63,-0.288618,-79.212982,89.36,3.56,5141.69,141.81,24.46,10,Rechazada,No,
2026-08-05T17:03:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),2,15.87,-0.288401,-79.213201,100.27,4.91,4807.72,142.45,0.1,10,Aceptada,Sí,
2026-08-05T08:20:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),2,13.44,-0.288298,-79.213098,113.95,1565.08,247.02,141.12,11.42,10,Rechazada,No,
2026-08-06T03:54:00Z,E8,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Fuera,Fresh Fix (maximumAge=0),11,8.61,-0.28836,-79.21324,94.68,3198.85,6205.01,125.91,4.49,10,Aceptada,No,
2026-08-06T00:03:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Fresh Fix (maximumAge=0),20,1.78,-0.288207,-79.213393,10.38,1263.04,559.87,157.42,21.65,10,Rechazada,Sí,
2026-08-05T19:46:00Z,E5,Acer Aspire A515-57 (Windows),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),20,20.74,-0.288419,-79.213219,102.42,2720.66,225.89,137.81,2.16,10,Aceptada,No,
2026-08-05T12:26:00Z,E2,POCO X6 Pro 5G (Android),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),9,1.25,-0.288329,-79.213129,8.53,1575.34,609.52,131.12,7.92,10,Aceptada,Sí,
2026-08-05T11:41:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Cached Fix (maximumAge=300000),9,17.47,-0.288223,-79.213377,126.3,3.66,841.78,136.67,19.88,10,Rechazada,No,
2026-08-05T08:09:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),2,13.19,-0.288275,-79.213075,95.04,2242.3,204.54,133.65,14.05,10,Rechazada,No,
2026-08-05T21:24:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),20,1.25,-0.288588,-79.213012,8.69,1322.82,220.6,121.07,21.17,10,Rechazada,Sí,
2026-08-06T03:25:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Cached Fix (maximumAge=300000),20,2.12,-0.288563,-79.213363,12.13,5.64,3595.76,127.36,18.31,10,Rechazada,Sí,
2026-08-05T14:11:00Z,E3,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Dentro,Cached Fix (maximumAge=300000),2,10.16,-0.28832,-79.21328,123.84,5.33,1809.07,132.94,8.96,10,Aceptada,Sí,
2026-08-06T01:04:00Z,E7,Acer Aspire A515-57 (Windows),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,8.78,-0.288357,-79.213243,91.05,2920.07,2966.25,135.39,4.82,10,Aceptada,No,
2026-08-06T06:12:00Z,E8,POCO X6 Pro 5G (Android),Datos móviles,Sí,Fuera,Cached Fix (maximumAge=300000),11,1.87,-0.288287,-79.213087,13.57,5.18,5193.82,133.62,12.7,10,Rechazada,Sí,
2026-08-06T00:48:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),20,3.9,-0.2886,-79.213,19.07,3.75,873.95,155.05,22.44,10,Rechazada,Sí,
2026-08-05T22:50:00Z,E6,Acer Aspire A515-57 (Windows),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),11,17.05,-0.288201,-79.213001,145.99,2.56,785.62,131.83,22.34,10,Rechazada,Sí,
2026-08-05T18:33:00Z,E4,POCO X6 Pro 5G (Android),Datos móviles,Sí,Dentro,Cached Fix (maximumAge=300000),2,5.32,-0.288462,-79.213262,9.57,4.95,3484.42,118.01,6.91,10,Aceptada,Sí,
2026-08-05T09:47:00Z,E1,POCO X6 Pro 5G (Android),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),9,2.13,-0.288497,-79.213103,9.8,1311.17,227.28,142.61,10.85,10,Rechazada,No,
